listing_type,listing_id,version,credited_author_id
map,yukina-fukuoka,0.6.1,ahkimn
map,yukina-fukuoka,0.6.2,ahkimn
map,yukina-fukuyama,0.1.0,ahkimn
map,yukina-fukuyama,0.1.1,ahkimn
map,yukina-hachinohe,0.1.0,ahkimn
map,yukina-hachinohe,0.1.1,ahkimn
map,yukina-hakodate,0.1.0,ahkimn
map,yukina-hakodate,0.2.0,ahkimn
map,yukina-hakodate,0.4.0,ahkimn
map,yukina-hakodate,0.5.0,ahkimn
map,yukina-hakodate,0.5.1,ahkimn
map,yukina-hakodate,0.5.2,ahkimn
map,yukina-hakodate,0.5.3,ahkimn
map,yukina-hiroshima-kure,0.2.0,ahkimn
map,yukina-hiroshima-kure,0.3.0,ahkimn
map,yukina-hiroshima-kure,0.4.0,ahkimn
map,yukina-hiroshima-kure,0.5.0,ahkimn
map,yukina-hiroshima-kure,0.6.0,ahkimn
map,yukina-hiroshima-kure,0.6.1,ahkimn
map,yukina-hiroshima-kure,0.6.2,ahkimn
map,yukina-hiroshima-kure,0.6.3,ahkimn
map,yukina-kagoshima-kirishima,0.2.0,ahkimn
map,yukina-kagoshima-kirishima,0.3.0,ahkimn
map,yukina-kagoshima-kirishima,0.4.0,ahkimn
map,yukina-kagoshima-kirishima,0.5.0,ahkimn
map,yukina-kagoshima-kirishima,0.5.1,ahkimn
map,yukina-kagoshima-kirishima,0.5.2,ahkimn
map,yukina-kanazawa,0.1.0,ahkimn
map,yukina-kanazawa,0.1.1,ahkimn
map,yukina-keihanshin,0.1.0,ahkimn
map,yukina-keihanshin,0.1.1,ahkimn
map,yukina-keihanshin,0.1.2,ahkimn
map,yukina-keihanshin,0.1.3,ahkimn
map,yukina-kitakyushu-shimonoseki,0.2.0,ahkimn
map,yukina-kitakyushu-shimonoseki,0.3.0,ahkimn
map,yukina-kitakyushu-shimonoseki,0.4.0,ahkimn
map,yukina-kitakyushu-shimonoseki,0.5.0,ahkimn
map,yukina-kitakyushu-shimonoseki,0.5.1,ahkimn
map,yukina-kitakyushu-shimonoseki,0.6.0,ahkimn
map,yukina-kitakyushu-shimonoseki,0.6.1,ahkimn
map,yukina-kitakyushu-shimonoseki,0.6.2,ahkimn
map,yukina-kobe-akashi,0.2.0,ahkimn
map,yukina-kobe-akashi,0.3.0,ahkimn
map,yukina-kobe-akashi,0.4.0,ahkimn
map,yukina-kobe-akashi,0.5.0,ahkimn
map,yukina-kobe-akashi,0.5.1,ahkimn
map,yukina-kobe-akashi,0.5.2,ahkimn
map,yukina-kobe-akashi,0.5.3,ahkimn
map,yukina-kochi,0.2.0,ahkimn
map,yukina-kochi,0.3.0,ahkimn
map,yukina-kochi,0.4.0,ahkimn
map,yukina-kochi,0.5.0,ahkimn
map,yukina-kochi,0.6.0,ahkimn
map,yukina-kochi,0.6.1,ahkimn
map,yukina-kochi,0.6.2,ahkimn
map,yukina-kochi,0.6.3,ahkimn
map,yukina-kofu,0.1.0,ahkimn
map,yukina-kofu,0.1.1,ahkimn
map,yukina-kumamoto,0.1.0,ahkimn
map,yukina-kumamoto,0.2.0,ahkimn
map,yukina-kumamoto,0.2.1,ahkimn
map,yukina-kumamoto,0.2.2,ahkimn
map,yukina-kyoto,0.2.0,ahkimn
map,yukina-kyoto,0.3.0,ahkimn
map,yukina-kyoto,0.4.0,ahkimn
map,yukina-kyoto,0.5.0,ahkimn
map,yukina-kyoto,0.6.0,ahkimn
map,yukina-kyoto,0.6.1,ahkimn
map,yukina-kyoto,0.6.2,ahkimn
map,yukina-lt-kaunas,0.1.0,ahkimn
map,yukina-lt-kaunas,0.1.1,ahkimn
map,yukina-lt-klaipeda,0.1.0,ahkimn
map,yukina-lt-klaipeda,0.1.1,ahkimn
map,yukina-lt-panevezys,0.1.0,ahkimn
map,yukina-lt-panevezys,0.1.1,ahkimn
map,yukina-lt-siauliai,0.1.0,ahkimn
map,yukina-lt-siauliai,0.1.1,ahkimn
map,yukina-lt-vilnius,0.1.0,ahkimn
map,yukina-lt-vilnius,0.1.1,ahkimn
map,yukina-lv-daugavpils,0.1.0,ahkimn
map,yukina-lv-daugavpils,0.1.1,ahkimn
map,yukina-lv-daugavpils,0.1.2,ahkimn
map,yukina-lv-liepaja,0.1.0,ahkimn
map,yukina-lv-liepaja,0.1.1,ahkimn
map,yukina-lv-liepaja,0.1.2,ahkimn
map,yukina-lv-riga,0.1.0,ahkimn
map,yukina-lv-riga,0.1.1,ahkimn
map,yukina-lv-riga,0.1.2,ahkimn
map,yukina-maebashi,0.1.0,ahkimn
map,yukina-maebashi,0.1.1,ahkimn
map,yukina-matsumoto,0.1.0,ahkimn
map,yukina-matsumoto,0.1.1,ahkimn
map,yukina-matsuyama,0.2.0,ahkimn
map,yukina-matsuyama,0.3.0,ahkimn
map,yukina-matsuyama,0.4.0,ahkimn
map,yukina-matsuyama,0.5.0,ahkimn
map,yukina-matsuyama,0.6.0,ahkimn
map,yukina-matsuyama,0.6.1,ahkimn
map,yukina-matsuyama,0.6.2,ahkimn
map,yukina-matsuyama,0.6.3,ahkimn
map,yukina-mito-hitachi,0.1.0,ahkimn
map,yukina-mito-hitachi,0.1.1,ahkimn
